Description,Short Name,Product Code
REGULAR CURRENT ACCOUNT,REGULAR CA,100
BFCA FOREING EMPLOYMENT AGENCY CA,BFCA FRN EMPLY,176
BFCA - TRAVEL AGENT/TOURISM CA,BFCA-TRAAGNT CA,180
STAFF CURRENT ACCOUNT,STAFF CA,106
BRANCH SUSPENSE ACCOUNT,BRANCH SUS AC,109
SPECIAL CURRENT ACCOUNT,SPECIAL CA,111
SPECIAL FACILITY ACCOUNT,SPEC FACI AC,112
RESIDENT GUEST RUPEE CA-PROFESSIONA,RGRA CA PROF,113
RESIDENT GUESS RUPEE CA,RGRCA-INVESTORS,114
IIA CURRENT ACCOUNT LKR,IIA C/A LKR,115
CTRA NON RESIDENT ACCOUNT C/A,CTRA NONRES CA,117
PTIRA - CURRENT ACCOUNT,PTIRA - CURRENT,118
MARGIN TRADING FACILITY ACCOUNT,MGIN TRAD FACI,125
CTRA MIGRANT C/A,CTRA MIGRNT CA,126
INWARD INVESTMENT C/A,INWARD INVESTME,128
CURRENT AC UNIT TRUST FACILITIES,CUR AC UN TRT F,130
SALARY MAX CURRUNT A/C,SALARY MAX CURR,131
PFCA (NRFC) - CURRENT ACCOUNT,PFCA NRFC CA,153
PFCA RNNFCA - CURRENT ACCOUNT,PFCA RNNFC CA,155
BFCA - EXPORTERS,BFCA-EXP,157
BFCA - INDIRECT EXPORTERS,BFCA-IND EXP,159
BFCA - PROFESSIONALS,BFCA-PROF,161
BFCA-FOREIGN EX EARNERS,BFCA FOREX EARN,162
FREIGHT FORWARDER FCY C/A,FREIGHT FORWARD,163
BFCA-SHIPPING AIRLINE/AGENT-CA,BFCA -SHIP CA,165
FCY ADVANCES AGST NRFC ACCOUNT,FCY ADV AG NRFC,169
DIPLOMATIC CURRENT ACCOUNT,DIPLOMAT CA LKR,171
ONE ACCOUNT - CURRENT ACCOUNT,ONE ACCOUNT - C,172
FCBU CURRENT A/C,FCBU CURRENT A/,190
BFCA HOTELS AND RESTAURANT CA,BFCA HOTEL REST,177
BFCA IRDA AC,BFCA IRDA AC,178
BFCA-GEM & JEWELLERY CA,BFCA GEM JEW CA,166
DIPLOMATIC CURRENT - FCY,DIPLOMAT CA FCY,175
ACHARA CURRENT ACCOUNT,ACHARA CA,174
