Description,Short Name,Product Code,Mandate Codes,Digital Form Ref No,Product Category
EASY SAVER,EASY SAVER,600,NM 01,,
HIGH END SAVER,HIGH END SAVER,604,NM 01,,
CORPORATE SAVER,CORPORATE SAVER,642,NM 01,,
ARALIYA SAVINGS ACCOUNT,ARALIYA SAV AC,606,NM 01,,
MONEY MARKET SAVINGS,MONEY MARKET SA,609,NM 01,,
BFCA-TRAVEL AGENTS/TOURISM SA,BFCA-TRAVLAGNTS,663,NM 01,,
ACHARA SAVINGS ACCOUNT,ACHARA SA,631,NM 01,,
BFCA-IRDA SA,BFCA-IRDA SA,664,NM 01,,
BFCA-HOTELS & RESTAURANTS SA,BFCA-HOTELS SA,665,NM 01,,
BFCA-INSURERS SA,BFCAINSURERS SA,666,NM 01,,
BFCA-LOGI FRGHT SA,BFCA-LOGI FRGHT,668,NM 01,,
BFCA-FCAASA-GENERAL SALES (AIRLINE),BFCA-AIRLINE SA,669,NM 01,,
CTRA-NON NATIONAL REGISTERED AC,CTRA-NONNAT REG,671,NM 01,,
EXTERNAL COMMERCIAL BORR SAV AC,EXT COM BORR SA,603,NM 01,,
STAFF SAVINGS ACCOUNT,STAFF SAV AC,605,NM 01,,
MINORS SAVINGS ACCOUNTS,MINORS SAV AC,607,NM 01,,
PFCA MINOR,PFCA MINOR,601,NM 01,,
PFCA MINOR,PFCA MINOR,602,NM 01,,
MINOR MUDHARABAH SAVING IB,MUDHARA MIN SAV,701,NM 01,,
PFCA MUDHARABA MINOR SAVING,PFCA MUDH MINOR,702,NM 01,,
PFCA MINOR MUDHARABAH SAVING,PFCA MUD SAVING,703,NM 01,,
BFCA OTHER IB SAVINGS,BFCA OTHER IB,705,NM 01,,
PFCA OTHER IB SAVINGS,PFCA OTHER IB,704,NM 01,,
SHILPA CHILDREN SAVINGS ACCOUNT,SHILPA CHIL S/A,608,NM 01,,
VISMITHA SAVINGS ACCOUNT REGULAR,VIS SAV AC REG,614,NM 01,,
REAL SAVER ACCOUNT,REAL SAVER AC,615,NM 01,,
NDB SAVINGS PLANNER,NDB SAV PLANNER,660,NM 01,,
NDB MINOR SAVINGS PLANNER,NDB MIN SAV PLA,661,NM 01,,
BFCA-SHIPPING/AIRLINE AGENTS SA,BFCA- SHIP SA,617,NM 01,,
SENIOR FOREIGN NATIONALS' RUPEE S/A,SENIOR FOREIGN,619,NM 01,,
IIA SAVINGS,IIA S/A,620,NM 01,,
PTIRA SAVINGS A/C,PTIRA SAVINGS A,621,NM 01,,
CTRA NON RESIDENT ACCOUNT S/A,CTRA NONRES SA,622,NM 01,,
SALARY MAX SAVINGS,SALARY MAX SAVI,624,NM 01,,
CTRA MIGRANT REGISTERED SA,CTRA MIGRANT SA,625,NM 01,,
RESIDENT GUEST RUPEE - S/A,RESIDENT GUEST,626,NM 01,,
CTRA MIGRANT S/A,CTRA MIGRNT SA,630,NM 01,,
DIPLOMATIC SAVINGS A/C,DIPLOMAT SA FCY,632,NM 01,,
DIPLOMATIC RUPEE SAVINGS,DIPLOMAT SA LKR,629,NM 01,,
IIA SAVINGS FCY,IIA S/A FCY,633,NM 01,,
BIG SAVER PLUS,BIG SAVER PLUS,634,NM 01,,
BFCA-NRFC FOR FEAS,BFCA-NON RES,641,NM 01,,
PFCA NRNNFA,PFCA NRNNFA,643,NM 01,,
OUTWARD INVESTMENT A/C,OUTWARD INVESTM,644,NM 01,,
PFCA RFC,PFCA RFC SA,645,NM 01,,
PFCA NRFC,PFCA NRFC SA,646,NM 01,,
PPFCA RNNFCA,PFCA RNNFC SA,647,NM 01,,
BFCA-EXPORTERS FOREIGN CURRENCY,BFCA-EFC,648,NM 01,,
BFCA-INDIRECT EXPORTERS FOREIGN CCY,BFCA-IND EXP,649,NM 01,,
BFCA - PROFESSIONALS,BFCA-PROF,650,NM 01,,
BFCA-GEM & JEWELLERY SA,BFCA GEM JEW SA,662,NM 01,,
FREIGHT EXPORTERS - SAVINGS,FREIGHT EXPORTE,651,NM 01,,
SPECIAL FOREIGN CURRENCY S/A,SPECIAL FOREIGN,652,NM 01,,
RESIDENT GUEST FOREIGN CURRENCY A/C,RGFCA-INVESTORS,653,NM 01,,
BFCA-SUPPLIER OF MATERIAL INPUT,BFCA-SUP INPUT,655,NM 01,,
FCBU - SAVINGS ACCOUNT,FCBU - SAVINGS,658,NM 01,,
BFCA-OTHER,BFCA-OTHER,659,NM 01,,
Normal Minor Account,Normal Minor Account,607,NMM 01,,6070
Shilpa Account,Shilpa Account,608,NSM 01,3,6080
Real Saver Account,Real Saver Account,615,NM 01,1,6150
Araliya Savings Account,Araliya Savings Account,606,NM 01,2:4,6003
Savings Planner,Savings Planner,660,NM 01,5,6151
Minor Savings Planner,Minor Savings Planner,661,NMM 01,5,6152
