Product Category,Product Code,Product Description,Mandate Code
6502,700,DBU Mudarabah SV,IBNM 01:IBAM 01
6503,900,FCBU Mudarabah SV,IBNM 01:IBAM 01
6078,705,Business Foreign Currency SV,IBNM 01:IBAM 01
6079,704,Personal Foreign Currency SV,IBNM 01:IBAM 01
6507,730,FEEA Mudarabah SV,IBNM 01:IBAM 01
6504,710,NRFC Mudarabah SV,IBNM 01:IBAM 01
6505,720,RFC Mudarabah SV,IBNM 01:IBAM 01
6506,740,SIA Mudarabah SV,IBNM 01:IBAM 01
6075,701,Minor Mudharabah Saving,MMM 01
6076,702,PFCA Mudharabah Minor Saving,MMM 01
6077,703,PFCA Minor Mudharabah Sav,MMM 01
