Biller Category,Biller Name,Biller Nick Name,Location,Biller Sub Category,Biller Type,Collection Account Number,Account Type,Collection Account Bank Name,Collection Account Bank Branch Name,Collection Account Payee Name,Fee Amount,Service Tax,Minimum Amount (can pay),Maximum Amount (can pay),Biller Contact Email ID,Biller Contact Phone Number,Input Field 1,Field Length and validation Rule1,Input Field 2,Field Length and validation Rule2,Input Field 3,Field Length and validation Rule3,Input Field 4,Field Length and validation Rule4,Input Field 5,Field Length and validation Rule5,Misc Payment Rules Logic and Comments
Telephone,Dialog Axiata PLC Mobile,DIALOG MOBILE,Colombo,,Online,101000120848,Current Acc,NDB,Head Office,,,,50,100000,global@dialog.lk,1777,Phone No,10-10,,,,,,,,,N
Internet,Dialog Axiata PLC Mobile,DIALOG MOBILE,Colombo,,Online,101000120848,Current Acc,NDB,Head Office,,,,50,100000,global@dialog.lk,1777,Phone No,10-10,,,,,,,,,N
Telephone,Dialog Axiata PLC  Fixed Lines,DIALOG FIXED LINES,Colombo,,Online,101110011459,Current Acc,NDB,Head Office,,,,50,100000,global@dialog.lk,94117100100,Phone No,10-10,,,,,,,,,N
Internet,Dialog Axiata PLC  Fixed Lines,DIALOG FIXED LINES,Colombo,,Online,101110011459,Current Acc,NDB,Head Office,,,,50,100000,global@dialog.lk,94117100100,Phone No,10-10,,,,,,,,,N
Television,Dialog Axiata PLC TV,DIALOG TV,Colombo,,Online,101110010428,Current Acc,NDB,Head Office,,,,50,10000,global@dialog.lk,1777,DTV Account No,8-8,,,,,,,,,N
Telephone,Etisalat Lanka Private Ltd,ETISALAT,Colombo,,Online,101000024757,Current Acc,NDB,Head Office,,,,50,100000,customercare@int.etisalat.lk,94722123123,Phone No,10-10,,,,,,,,,N
Internet,Etisalat Lanka Private Ltd,ETISALAT,Colombo,,Online,101000024757,Current Acc,NDB,Head Office,,,,50,100000,customercare@int.etisalat.lk,94722123123,Phone No,10-10,,,,,,,,,N
Telephone,Lanka Bell Limited,LANKA BELL,Colombo,,Offline,101000033047,Current Acc,NDB,Head Office,,,,50,100000,bellcare@mail.lankabell.com,94115335000,Phone No,10-10,,,,,,,,,N
Internet,Lanka Bell Limited,LANKA BELL,Colombo,,Offline,101000033047,Current Acc,NDB,Head Office,,,,50,100000,bellcare@mail.lankabell.com,94115335000,Phone No,10-10,,,,,,,,,N
Telephone,Mobitel Pvt Ltd,MOBITEL,Colombo,,Online,101000090434,Current Acc,NDB,Head Office,,,,50,100000,info@mobitel.lk,94712755777,Phone No,10-10,,,,,,,,,N
